Title,Content
1. Write down your income.,"A budget is just a customized plan for your money where you decide—beforeeach month begins—how much you’re going to give, save and spend. So the first step to making a budget is figuring out how much money you have to start with. Add up the money you’ll have coming in during the upcoming month from all sources—including what you’ll make from your day job,side hustles, any scholarships that are paid to you directly, and any cash you’ll get from your parents. (Make sure you thank your folks if they give your bank account a lift.) If your income changes month to month and you don’t know exact numbers yet, that’s no problem—just make your best guess. Once you’ve got all the numbers, write them down on your budget. Here’s what that could look like:  "
2. List your expenses.,"Next, you’ll want to write down everything you spend money on. And I mean everything! To get you started, here are some common monthly expenses that apply to most college students: Now, that list is a great starting point, but you may have some other expenses that aren’t on it. So, look back at your recent bank statements or receipts and think about everything you spend money on. You don’t want anything to sneak up on you down the road—even your weekly stop at the donut shop. Once you’ve organized your budget categories, plan how much you’ll spend for each one. Personally, I put giving and saving at the top of my list to keep my priorities in check. Then I move on to the other categories. Some expenses that cost the same each month, like Netflix and rent, are easy to plan for. Others, like food and transportation, are more unpredictable. To make those easier, look at what you spentlastmonth in each category and use that as a guide."
3. Subtract your expenses from your income.,"Once you’ve assigned a dollar amount to every category, it’s time to whip out your calculator. If you’re anything like me, you’re ready to dip once math is mentioned. But hang on—I promise this isn’t complicated at all. All you need to do is add up the expenses you just listed, including what you plan to give, save and spend. Then, subtract that total from your income. You want that number to be a big fatzero. Why? Because azero-based budget, where your income minus your expenses equals zero, is theonlytype of budget that works in the long haul. It means giving every single dollar a job. So, if your total expenses arelessthan your income, give that leftover money something to do—maybe you add it to savings or give it to a cause you care about. And if your total expenses aremorethan your income, you have two great options:increasing your income(trust me, there are plenty of ways to make extra money in college) or cutting back on your expenses (we’ll go over some tips on how to do that a little bit later). Here’s what your budget might look like with the example income we used in the first step. "
4. Track your spending.,"Once you get to this point, you’ve officially made your first college student budget. Let’s go! Give yourself a minute to celebrate this win. But you’re not quite done with the entire process. Turns out, you can’t justmakea budget and expect something to happen—you have tostick to it. The biggest key to sticking to your budget istracking your spendingthroughout the month. If you wait until the end of the month to see if you’re on track, you’re too late!"
How to Cut Back on College Expenses,"If you need to free up some room in your budget, cutting back on spending is an easy way to make that happen. Here are some of my favorite tips forsaving money in collegeand how you can lower your monthly expenses."
How to Save Money on Tuition,"There’s a tried and true way to cut back on tuition costs that every student should take advantage of:scholarships.But I’m already in college. Isn’t it too late for me to get scholarships?No! Plenty of scholarships are available, especially for students already enrolled in college. So start looking for ones you’d qualify for and apply to as many as you can."
How to Save Money on Food,"A lot of colleges require meal plans if you live on campus. If that’s you, try getting as much bang for your buck as possible. Eating in the cafeteria isn’t as fun as running to Taco Bell or Chick-fil-A, but try to avoid eating at restaurants as much as possible. I know some cafeteria food has the nutritional value of Play-Doh, but youcanfind good options. And you’re already paying for it, so you might as well get your money’s worth. If you don’t have a meal plan, trybuying groceriesand eating at home more often than eating out. That’ll save you atonof money in the long run."
How to Save Money on Textbooks,"Shopping at your school’s bookstore may be the easiest and most convenient way to buy books, but it’snotthe cheapest. You can get used books for a lot less on sites like Chegg, eBay or Amazon. (Just make sure you purchase the right version.) You can also save some money by renting books instead of buying them."
How to Save Money on Entertainment,"Your college probably offers a lot of free entertainment—like clubs, intramural sports, concerts and more. Ask older students for some ways to have fun on campus without reaching into your wallet. (Just make sure your “entertainment” doesn’t involve something that would get the police called . . .) You can also cut back on your entertainment budget by cutting down on the music and TVstreaming servicesyou pay for. Do you reallyneed Netflix, Hulu, HBO MaxandDisney+? Nope, and you can also choose from tons offree streaming services."
How to Save Money on Housing,"Deciding on the best plan for college housing can be tricky. Sometimes, on-campus housing is the most affordable option. Other times,finding a roommateand renting an apartment off campus is your best bet. Do your research and figure out which choice is the most affordable—and make sure your “bargain” apartment isn’t full of bedbugs and broken dreams. No thank you. By the way, if you do live on campus, becoming a resident assistant (aka an RA) is a great way to save money on housing. RAs monitor the dorms and help with student activities, and in exchange, they typically get discounted housinganda cash stipend on top of that."
Get It Done!,"Here’s the cold, hard truth: If you don’t have a budget, you’re not in control of your money. A budget is a game plan, and youlosethe game when you don’t have one. I don’t want that for you—I want you to win. And don’t wait to get started!Oh, I’ll make a budget right after I finish that sociology paper and eat my grilled cheese.Child, please. You and I both know that’s not going to happen. Do it now! "
We Hear You!,We’re considering adding the ability to save articles to your Ramsey account. 
1. Identify your spending tendencies.,"If you want to learn how to not spend money, you need to start with yourmoney mindset. It’s important to know your spending tendencies (or as I call them,spendencies). Are you naturally wired to be a spender or a saver? Are you a nerd or a free spirit? Do you value safety or status? All these factors and more can directly influence yourspending habits. And the more aware you are of your spending temptations, the more likely you are to guard yourself against them."
2. Create a budget.,"Abudgetis thekeyto fighting overspending. Because if you have a spending plan for the month ahead, you’re more likely to stay on track. Start by listing your monthly income, followed by all yourmonthly expenses. Be sure to include the basics (starting with food, utilities, housing and transportation)beforeyou budget for things like entertainment or clothing. Then subtract your expenses from your income. The goal is for this number to equal zero—this is called azero-based budget. You want to make sure every single dollar you make goes toward giving, saving, spending or paying off debt.A zero-based budget is how you get your spending under control. If you’ve never budgeted before, you might be surprised by how much money you’re spending each week (or even each month) on little things—like coffee, lunches or that snack shop at work that your spouse doesn’t know about. And give yourself some grace. It usually takes a few months to make your budget work for you. Then you can keep fine-tuning your budget to cut costs and trim down your spending even more."
3. Set money goals.,"Having a specificmoney goalyou’re working toward is a great way to motivate yourself to stop spending money. Because every dollar you spend is one less dollar you can put toward the bigger thing you want. Your goal could be to pay off debt, save for a car, or go on a debt-free vacation. Whatever it is, make itspecific. Even better if you have a visual reminder you can put on your fridge or in your wallet. That way, every time you’re tempted to buy something, you have to decide if it’s worth delaying your goal for."
4. Track your spending.,"It doesn’t matter how large (or small) your income is—if you’re not tracking your spending, you’ll never be in control of your money. In fact, you’ll always feel like your money is controllingyou. And while making a budget is important, you also have tostickto your budget bytracking your expensesthroughout the month. Every single expense. This will help you know how much you have left to spend. Plus, it makes you more aware of where your money is actually going."
5. Do a no-spend challenge.,"Want to know the best way to stop spending money? Doing ano-spend challenge! This is where you commit to only buying the bare necessities for a certain period of time. And hey, this is actually more fun than it may sound. Challenging yourself to spend as little as possible for an entire month forces you to be super intentional with your spending. Plus, it helps you see what you can actually live without."
6. Avoid restaurants (and food delivery apps).,"One of the biggest areas we overspend on is food. We all know thateating outgets expensive—fast. If you’re spending $15 on lunch five times a week, that’s $75 a week (and $300 a month). And don’t even get me started on food delivery app fees! Deciding to cut out (or at least cutback) on eating out is a huge way to keep yourself from spending too much money. I’m not saying you shouldn’t ever treat yourself to Sunday brunch or a nice dinner on a special occasion—just scale it back some and make sure it’s in the budget."
7. Plan your meals.,"Speaking of not eating out,planning your mealsin advance can help you lower your overall food costs. And it doesn’t have to be complicated! Choose a couple of recipes for the week, head to the store with your list, and set aside some time to prep or cook your meals. Then the next time you’re tempted to hit up the drive-thru after a long day, you can say, “We’ve got food at home!”"
8. Use the envelope system.,"One way to keep yourself from overspending is to use thecash envelope system. Here’s how it works: You choose specific budget lines (like groceries, gas, personal), label individual envelopes with those lines, and then put cash (yes,physicalcash) into each envelope. The envelope system is helpful for a couple reasons: 1) You tend to spend lesswhen you use cashthan when you use a card, and 2) you can only spend what you’ve budgeted in your envelope. When the money is gone, it’s gone! It’s a great way to keep you disciplined with your spending. "
9. Swear off debt.,"If you really want to stop spending money you don’t have, you need to swear offborrowingmoney (aka debt). The truth is, debt steals your income. One purchase you make today can keep you trapped in payments (and interest) for months or years to come. Your debtownsyou until you pay it off. Here’s the deal: If you don’t have the cash to pay for something right now, you can’t really afford it. So, if you’re serious about getting your spending under control, go ahead andcancel your credit cards. Take debt completely off the table. Because without credit, overspending isn’t even an option!"
10. Find alternatives to retail therapy.,"We may sometimes joke about being a shopaholic, but compulsive spending, otherwise known asretail therapy, is a real thing. We buy something because we want itnow. We add it to our cart before we think about what’s in the checking account (or before considering our financial goals, for that matter). But instant gratification isn’t all it’s cracked up to be. Spending money doesn’t actually make you feel better . . . especially when you see your bank account shrinking right before your eyes. So, instead of trying to spend your feelings away, work out what youremotions are really telling you. Or find other things you can do besides spend money: Move your body, talk to a friend, or do a task you’ve been putting off."
11. Resist sales.,"Who doesn’t love a good deal? I know I do! Retailers know how tolure their customerswith a flashy (and perfectly placed) sales rack. But how much is all this saving reallycostingyou? If you buy a sweater you were never going to buy just because it’s 25% off, you’re actually paying 100%morethan you would have. So, if you see an item on sale that you weren’t already planning to get, it wasn’t meant to be (preaching to myself here too). And if you can’t stop thinking about something, add it to your budget for next month (most likely, there’ll beanothersale)."
12. Limit social media comparison.,"Picture this: It’s Saturday morning, and before you realize it, you’re scrolling through your social media feed to catch up on what your friends are up to. Not even two swipes in, you’re bombarded with a post of an influencer making their morning latte—complete with a high-end coffee machine, aesthetic mug and expensive milk frother. Suddenly you’re thinking,Wait, maybemymornings would be better if I had that espresso machine. Social media makesthe comparison gameeven more intense. Your friend’s post about their brand-new couch with those perfect throw pillows. That popular blogger’s reel about the incredible, all-inclusive resort she went to. It can make us feel like our lives aren’t good enough and we need to spend more money to reach their level. But all that does is drain our bank accounts and steal our joy. A good question to ask yourself:Would I still want this if no one else ever sees it?You can also cut the comparison by unfollowing those accounts (you know the ones) or limiting your social media use altogether. Trust me, you’ll feel a whole lot lighter!"
13. Shop with a list.,"We’ve all been there. You make a quick run to Target to get toothpaste and peanut butter. But as soon as you walk through the door, you feel the gravitational pull toward the dollar spot and the clothes section. Just like that, a quick trip to the store for two essentials just gotprettyexpensive. Consider this: Instead of heading into a store and wandering up and down the aisles, make a list ahead of time and carry it with you into the store to keep you on track. And if you get caught in theimpulse buyscenario a lot, try to avoid the stores that make you spend too much money. (Or maybe send your spouse in for you.)"
14. Pause before you spend.,"If you’re still having trouble sticking to your budget, ask yourself this question before every purchase:When will I use this? Take the time to literally imagine how you’ll be using thatmust-haveitem a month from now. Will that sweater hold up after a few washes? Will your kids still be playing with that overpriced toy set? Will those shoes go with more than one outfit? Most of the time, the answer is no. Put it back and save yourself thebuyer’s remorse. Otherwise, make it a rule to wait at least 24 hours. By that point, if you still love it and you can fit it into your budget, go ahead and get it."
15. Use what you already have.,"It’s crazy how much money we waste buying things we really don’t need—especially when we already have things at home that get the job done. We eye the beautiful, mint green Kitchen Aid mixer when our own mixer works perfectly well. We think we need a new skin care set when we have a whole basket of unused products under the sink. Before you add an item to your shopping list, take inventory and see what you already own. Also, what can you repurpose, fix or even borrow from a friend? Instead of buying décor, shop your house and rearrange a room for a fresh look. Rather than spend money on a toy for your kid, pull out board games or unused coloring books. Making use of what you already have will save you money and help you practicecontentment."
16. Find someone to hold you accountable.,"It’s one thing to say you’ll stop spending money, but many of us need someone to help us stay on track. Whether it’s a spouse, a friend or even a group chat, tell someone your goal and ask them to check in with you every week or every month. Maybe your accountability is afinancial coach—an expert who can help you navigate your situation and help you get to the root of your overspending. Knowing that you’ll have to report your progress to someone else motivates you to make more of an effort. And remember, no matter how the next month goes, it’s never too late to change your spending habits. You can always adjustyour budgetand get back on track at any point. You’ve got this!"
We Hear You!,We’re considering adding the ability to save articles to your Ramsey account. 
What Is a 401(k) Student Loan Match?,"A 401(k) student loan matchallows companies to offer 401(k) matches based on their employees’ student loan payments.This programalso works with403(b),457(b), andSIMPLE IRAplans.1 Until earlier this year, employers offering a401(k) matchcould only make contributions to your retirement accounts ifyouwere also contributing. Now, companies can offer matches based on the amount you pay toward a student loan, rather than what you contribute to your 401(k). Technically, this whole shebang started when former President Joe Biden signed theSECURE 2.0 Actinto law back in 2022. But the IRS only began providing guidance for companies interested in implementing this program in 2024.2 Sidenote: It’s not a requirementfor employers to offer a student loan match—it’s just a newoption. So don’t feel like you’re getting cheated if your company doesn’t offer this."
How Does a SECURE 2.0 Student Loan Match Work?,"Let’s look at an example to see how this works. We’ll say you make $60,000 and your employer offers a 4% match on your401(k)contributions, which comes out to $200 a month. Until now, the only way for you to get that $200 was to contribute at least $200 of your own income into your employer-sponsored retirement account. Then your employer would match that contribution by also putting in $200. But with this new rule, employers have the option of matching yourstudent loanpayments—not just your retirement contributions. So, if you had that same 4% match on a $60,000 salary and you made a student loan payment of at least $200, your employer couldstillput $200 in your 401(k)—even though you didn’t contribute a dime. Pretty wild. If your employer chooses to offer a student loan match, getting signed up should be as simple as filling out a few online forms. You may also be asked to provide some documentation, like proof of your student loan payments."
Student Loan 401(k) Match Pros and Cons,"This program definitely soundslike a great deal if you’ve got student loans, but does it hold up when you look at it under a microscope? For the most part, yes. Let’s go over the pros and cons."
Should You Take Advantage of a Student Loan Match?,"If your employer offers a student loan 401(k) match, I don’t have a problem with you taking advantage of it. But before you run off to HR and sign up, here are three important warnings."
1. Pause retirement investing outside of your match.,"Remember: This benefit only works out because it lets you double dip by putting all your extra money toward debt while still getting some drops in the retirement bucket. (It’s also the only time you should double dip—let’s not be feral with the communal guac. Have some class.) So, keep your own contributions paused and focus all your financial energy on getting out of debt. You can contribute for yourself once you’re debt-free."
2. Don’t let a student loan match slow down your debt payoff.,"Like we already talked about, the only way to get out of debt is to attack it with a vengeance. That means you’re not going on vacation, eating out, upgrading your car, or buying matching workout sets from Lululemon. (Sorry, you’ll have to get the Amazon dupe like the rest of us.) Seriously, you want to get out of debt ASAP so you can start investingandhave way more margin to do so. So, don’t let this little bonus cause you to lose your sense of urgency."
3. Start investing 15% of your income once you’re debt-free with a fully funded emergency fund.,"Getting an employer match while you’re paying off your student loans is cool, but it’s not enough to make much of a long-term difference in your retirement savings. So, once your debt is gone and you have a fully fundedemergency fundof 3–6 months of expenses, it’s time to focus on the future instead of paying for the past. How much should you invest at that point? I recommend setting your monthlyinvestment contributionfor 15% of your income."
The Bottom Line,"To sum it all up, the 401(k) student loan match can be a positive development for anyone who uses it correctly and maintains a high level of intensity while paying off debt. Itisfree money, and itisa cool way to make progress on two important financial goals at the same time. Just remember to stay hyperfocused on paying off your student loans as fast as possible. Because once you’re debt-free, that’s when you’ll really be able to start winning with money. "
We Hear You!,We’re considering adding the ability to save articles to your Ramsey account. 
